ID,CPT/HCPC Code,Modifier,Medicare Location,Global Surgery Indicator,Multiple Surgery Indicator,Prevailing Charge Amount,Fee Schedule Amount,Site of Service Amount,PDF Name,Timestamp
0,0001U,,,,,X,827.43,X,0001u-00842.pdf,2025-02-11 02:43:20
1,0002U,,,,,X,28.73,X,0001u-00842.pdf,2025-02-11 02:43:20
2,0003U,,,,,X,"1,091.75",X,0001u-00842.pdf,2025-02-11 02:43:20
3,0005U,,,,,X,873.40,X,0001u-00842.pdf,2025-02-11 02:43:20
4,0007U,,,,,X,131.51,X,0001u-00842.pdf,2025-02-11 02:43:20
5,0008U,,,,,X,687.13,X,0001u-00842.pdf,2025-02-11 02:43:20
6,0009U,,,,,X,122.97,X,0001u-00842.pdf,2025-02-11 02:43:20
7,00100,,1.0,XXX,9.0,78.16,X,X,0001u-00842.pdf,2025-02-11 02:43:20
8,00100,,2.0,XXX,9.0,77.64,X,X,0001u-00842.pdf,2025-02-11 02:43:20
9,00100,,3.0,XXX,9.0,74.73,X,X,0001u-00842.pdf,2025-02-11 02:43:20
10,00100,,4.0,XXX,9.0,69.62,X,X,0001u-00842.pdf,2025-02-11 02:43:20
11,00102,,1.0,XXX,9.0,78.16,X,X,0001u-00842.pdf,2025-02-11 02:43:20
12,00102,,2.0,XXX,9.0,77.64,X,X,0001u-00842.pdf,2025-02-11 02:43:20
13,00102,,3.0,XXX,9.0,74.73,X,X,0001u-00842.pdf,2025-02-11 02:43:20
14,00102,,4.0,XXX,9.0,69.62,X,X,0001u-00842.pdf,2025-02-11 02:43:20
15,00103,,1.0,XXX,9.0,78.16,X,X,0001u-00842.pdf,2025-02-11 02:43:20
16,00103,,2.0,XXX,9.0,77.64,X,X,0001u-00842.pdf,2025-02-11 02:43:20
17,00103,,3.0,XXX,9.0,74.73,X,X,0001u-00842.pdf,2025-02-11 02:43:20
18,00103,,4.0,XXX,9.0,69.62,X,X,0001u-00842.pdf,2025-02-11 02:43:20
19,00104,,1.0,XXX,9.0,78.16,X,X,0001u-00842.pdf,2025-02-11 02:43:20
20,00104,,2.0,XXX,9.0,77.64,X,X,0001u-00842.pdf,2025-02-11 02:43:20
21,00104,,3.0,XXX,9.0,74.73,X,X,0001u-00842.pdf,2025-02-11 02:43:20
22,00104,,4.0,XXX,9.0,69.62,X,X,0001u-00842.pdf,2025-02-11 02:43:20
23,0010U,,,,,X,491.01,X,0001u-00842.pdf,2025-02-11 02:43:20
24,0011U,,,,,X,131.51,X,0001u-00842.pdf,2025-02-11 02:43:20
25,00120,,1.0,XXX,9.0,78.16,X,X,0001u-00842.pdf,2025-02-11 02:43:20
26,00120,,2.0,XXX,9.0,77.64,X,X,0001u-00842.pdf,2025-02-11 02:43:20
27,00120,,3.0,XXX,9.0,74.73,X,X,0001u-00842.pdf,2025-02-11 02:43:20
28,00120,,4.0,XXX,9.0,69.62,X,X,0001u-00842.pdf,2025-02-11 02:43:20
29,00124,,1.0,XXX,9.0,78.16,X,X,0001u-00842.pdf,2025-02-11 02:43:20
30,00124,,2.0,XXX,9.0,77.64,X,X,0001u-00842.pdf,2025-02-11 02:43:20
